epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,92.3785,0.92601,0.84543,1.00866,0.99582,1,0.995,0.7831,0.85542,0.77354,0.98547,0.0011684,0.0011684,0.0011684
44,94.4576,0.95368,0.80703,0.957,0.99703,1,0.995,0.83163,0.70068,0.63854,0.92724,0.0011486,0.0011486,0.0011486
45,96.0603,0.90669,0.80738,0.95782,0.99698,1,0.995,0.79765,0.83225,0.65098,0.95846,0.0011288,0.0011288,0.0011288
46,97.8995,0.86445,0.76047,0.98003,0.99619,1,0.995,0.81485,0.7281,0.61148,0.94561,0.001109,0.001109,0.001109
47,99.3903,0.90379,0.76459,0.95399,0.99722,1,0.995,0.80856,0.7371,0.5993,0.92843,0.0010892,0.0010892,0.0010892
48,101.531,0.90887,0.81952,0.9695,0.99632,1,0.995,0.82296,0.7461,0.60816,0.92055,0.0010694,0.0010694,0.0010694
49,103.062,0.8838,0.74717,0.96231,0.99514,1,0.995,0.82506,0.7445,0.58631,0.94704,0.0010496,0.0010496,0.0010496
50,104.625,0.82861,0.80425,0.96302,0.99221,1,0.995,0.82841,0.68343,0.59653,0.90797,0.0010298,0.0010298,0.0010298
51,106.143,0.84899,0.73805,0.94749,1,0.99872,0.995,0.83521,0.66162,0.57472,0.91592,0.00101,0.00101,0.00101
52,108.247,0.80622,0.72759,0.9627,0.99842,1,0.995,0.81167,0.71013,0.54358,0.90665,0.0009902,0.0009902,0.0009902
53,109.775,0.94811,0.74818,0.94769,0.99778,1,0.995,0.83989,0.66611,0.52253,0.90471,0.0009704,0.0009704,0.0009704
54,111.349,0.833,0.68726,0.9539,0.99795,1,0.995,0.80486,0.70197,0.56284,0.90981,0.0009506,0.0009506,0.0009506
55,112.836,0.84257,0.7218,0.96326,0.99824,1,0.995,0.79884,0.72391,0.53965,0.90756,0.0009308,0.0009308,0.0009308
56,114.342,0.76752,0.66456,0.95622,0.99718,1,0.995,0.81535,0.70087,0.50792,0.89661,0.000911,0.000911,0.000911
57,115.822,0.85568,0.72629,0.97302,0.99741,1,0.995,0.83595,0.67767,0.4802,0.88902,0.0008912,0.0008912,0.0008912
